slsNoSL,slsDate,cstName,itmName,slsQty,uomName_x,slsPrice,slsDisc,slsSubTotal,slsPPN,slsTotal,Brand,uomName_y,Discoint beli (%),Discount Jual (%)
SI202109000093,2021-09-17 00:00:00,PASIFIC 2,SIKATOP SEAL 107 (A+B) @25KG,5.0,SET,319457.0,0.0,1597285.0,0.0,1597285.0,SIKA,SET,50,45
SI202109000093,2021-09-17 00:00:00,PASIFIC 2,SIKA TOP 107+ @4X4KG,2.0,DUS,392190.0,0.0,784380.0,0.0,784380.0,SIKA,DUS,50,45
SI202109000093,2021-09-17 00:00:00,PASIFIC 2,CAIRAN SIKA TOP 107 (A) @5KG,5.0,GALON,294063.0,0.0,1470315.0,0.0,1470315.0,SIKA,GALON,49,45
SI202109000093,2021-09-17 00:00:00,PASIFIC 2,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),1.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000094,2021-09-17 00:00:00,PELITA HARAPAN,SIKATOP SEAL 107 (A+B) @25KG,5.0,SET,319457.0,0.0,1597285.0,0.0,1597285.0,SIKA,SET,50,45
SI202109000094,2021-09-17 00:00:00,PELITA HARAPAN,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),1.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000012,2021-09-18 00:00:00,SINAR PERMATA,AM 53 - CREAM IXIA @12X1KG,3.0,DUS,159600.0,15.0,406980.0,0.0,406980.0,AM,PCS,32.68,15
SI202109000012,2021-09-18 00:00:00,SINAR PERMATA,AM 53 - CREAM LOTUS @12X1KG,2.0,DUS,159600.0,15.0,271320.0,0.0,271320.0,AM,PCS,32.68,15
SI202109000012,2021-09-18 00:00:00,SINAR PERMATA,AM 53 - WHITE JASMINE @12X1KG,1.0,DUS,159600.0,15.0,135660.0,0.0,135660.0,AM,PCS,32.68,15
SI202109000097,2021-09-18 00:00:00,ANEKA SARANA,SIKA TOP 107+ @4X4KG,2.0,DUS,378429.0,0.0,756858.0,0.0,756858.0,SIKA,DUS,50,45
SI202109000098,2021-09-18 00:00:00,MEGA JAYA,SIKATOP SEAL 107 (A+B) @25KG,20.0,SET,308248.0,0.0,6164960.0,0.0,6164960.0,SIKA,SET,50,45
SI202109000098,2021-09-18 00:00:00,MEGA JAYA,SIKATOP SEAL 107 (A+B) @25KG (FREE),1.0,SET,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000098,2021-09-18 00:00:00,MEGA JAYA,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),7.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000099,2021-09-18 00:00:00,VINDO JAYA,SIKA TILE GROUT CREAM @25X1KG,2.0,DUS,213868.0,0.0,427736.0,0.0,427736.0,SIKA,DUS,49,45
SI202109000100,2021-09-18 00:00:00,MAKMUR RANCAGONG,SIKATOP SEAL 107 (A+B) @25KG,15.0,SET,308248.0,0.0,4623720.0,0.0,4623720.0,SIKA,SET,50,45
SI202109000100,2021-09-18 00:00:00,MAKMUR RANCAGONG,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),5.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000101,2021-09-18 00:00:00,SINAR LESTARI,SIKATOP SEAL 107 (A+B) @25KG,7.0,SET,308248.0,0.0,2157736.0,0.0,2157736.0,SIKA,SET,50,45
SI202109000101,2021-09-18 00:00:00,SINAR LESTARI,SIKACERAM 180 GA-TILEFIX @25KG,6.0,SAK,77004.0,0.0,462024.0,0.0,462024.0,SIKA,SAK,22.16,16.3
SI202109000101,2021-09-18 00:00:00,SINAR LESTARI,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),3.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000102,2021-09-18 00:00:00,PUSAT KERAMIK,AM 151 - STONE COATING GLOSSY @12X1L,3.0,DUS,1124400.0,17.5,2782890.0,0.0,2782890.0,AM,LITER,-,-
SI202109000102,2021-09-18 00:00:00,PUSAT KERAMIK,AM 153 - STONE COATING BLACK GLOSSY @12X1L,2.0,DUS,1161600.0,17.5,1916640.0,0.0,1916640.0,AM,LITER,-,-
SI202109000104,2021-09-20 00:00:00,PELITA AGUNG 1,CAIRAN SIKA TOP 107 (A) @5KG,5.0,GALON,283745.0,0.0,1418725.0,0.0,1418725.0,SIKA,GALON,49,45
SI202109000104,2021-09-20 00:00:00,PELITA AGUNG 1,AM 54 - LIQUID GROUT ADDITIVE @12X330ML,2.0,DUS,272400.0,15.0,463080.0,0.0,463080.0,AM,PCS,32.68,15
SI202109000105,2021-09-20 00:00:00,SINAR ABADI MANDIRI,SIKATOP SEAL 107 (A+B) @25KG,6.0,SET,308248.0,0.0,1849488.0,0.0,1849488.0,SIKA,SET,50,45
SI202109000105,2021-09-20 00:00:00,SINAR ABADI MANDIRI,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),2.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000106,2021-09-20 00:00:00,MEKAR JAYA ABADI,SIKATOP SEAL 107 (A+B) @25KG,3.0,SET,308248.0,0.0,924744.0,0.0,924744.0,SIKA,SET,50,45
SI202109000106,2021-09-20 00:00:00,MEKAR JAYA ABADI,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),1.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000106,2021-09-20 00:00:00,MEKAR JAYA ABADI,SIKALASTIC 590 DECKSEAL GREY @4X4KG,2.0,DUS,931700.0,0.0,1863400.0,0.0,1863400.0,SIKA,DUS,49,45
SI202109000107,2021-09-20 00:00:00,INTI JAYA,SIKATOP SEAL 107 (A+B) @25KG,6.0,SET,308248.0,0.0,1849488.0,0.0,1849488.0,SIKA,SET,50,45
SI202109000107,2021-09-20 00:00:00,INTI JAYA,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),2.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000108,2021-09-20 00:00:00,GUNUNG KENCANA,SIKA TOP 107+ @4X4KG,3.0,DUS,378429.0,0.0,1135287.0,0.0,1135287.0,SIKA,DUS,50,45
SI202109000108,2021-09-20 00:00:00,GUNUNG KENCANA,SIKATOP SEAL 107 (A+B) @25KG,20.0,SET,308248.0,0.0,6164960.0,0.0,6164960.0,SIKA,SET,50,45
SI202109000108,2021-09-20 00:00:00,GUNUNG KENCANA,SIKATOP SEAL 107 (A+B) @25KG (FREE),1.0,SET,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000108,2021-09-20 00:00:00,GUNUNG KENCANA,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),7.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000115,2021-09-20 00:00:00,JAYA MAS,CAIRAN SIKA TOP 107 (A) @5KG,10.0,GALON,283745.0,0.0,2837450.0,0.0,2837450.0,SIKA,GALON,49,45
SI202109000115,2021-09-20 00:00:00,JAYA MAS,AM 54 - LIQUID GROUT ADDITIVE @12X330ML,1.0,DUS,272400.0,0.0,272400.0,0.0,272400.0,AM,PCS,32.68,15
SI202109000116,2021-09-20 00:00:00,WIJAYA,SIKA TOP 107+ @4X4KG,5.0,DUS,378429.0,0.0,1892145.0,0.0,1892145.0,SIKA,DUS,50,45
SI202109000117,2021-09-20 00:00:00,JAYA MAKMUR (DEPOK),SIKAMUR 130 THINBED @40KG,20.0,SAK,71145.0,0.0,1422900.0,0.0,1422900.0,SIKA,SAK,22.16,16.3
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,SIKA TOP 107+ @4X4KG,2.0,DUS,378429.0,0.0,756858.0,0.0,756858.0,SIKA,DUS,50,45
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53 - BLACK EBONY @12X1KG,2.0,DUS,128877.0,0.0,257754.0,0.0,257754.0,AM,PCS,32.68,15
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53 - WHITE JASMINE @12X1KG,3.0,DUS,128877.0,0.0,386631.0,0.0,386631.0,AM,PCS,32.68,15
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53 - GREY SOKA @12X1KG,2.0,DUS,128877.0,0.0,257754.0,0.0,257754.0,AM,PCS,32.68,15
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53 - GREY ORCHID @12X1KG,1.0,DUS,128877.0,0.0,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53 - CREAM LOTUS @12X1KG,1.0,DUS,128877.0,0.0,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53 - CREAM IXIA @12X1KG,1.0,DUS,128877.0,0.0,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53 - YELLOW EDELWEIS @12X1KG,1.0,DUS,128877.0,0.0,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000119,2021-09-20 00:00:00,SRIWIJAYA,AM 53- YELLOW SUNFLOWER @12X1KG,1.0,DUS,128877.0,0.0,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000109,2021-09-21 00:00:00,MELATI JAYA,SIKAMUR 130 THINBED @40KG,100.0,SAK,71145.0,0.0,7114500.0,0.0,7114500.0,SIKA,SAK,22.16,16.3
SI202109000111,2021-09-21 00:00:00,GINTUNG AGUNG,AM 53 - CREAM IXIA @12X1KG,3.0,DUS,159600.0,19.25,386631.0,0.0,386631.0,AM,PCS,32.68,15
SI202109000111,2021-09-21 00:00:00,GINTUNG AGUNG,AM 53 - BLACK EBONY @12X1KG,2.0,DUS,159600.0,19.25,257754.0,0.0,257754.0,AM,PCS,32.68,15
SI202109000111,2021-09-21 00:00:00,GINTUNG AGUNG,AM 54 - LIQUID GROUT ADDITIVE @12X330ML,3.0,DUS,272400.0,19.25,659889.0,0.0,659889.0,AM,PCS,32.68,15
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 53 - WHITE JASMINE @12X1KG,3.0,DUS,159600.0,19.25,386631.0,0.0,386631.0,AM,PCS,32.68,15
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 53 - CREAM IXIA @12X1KG,3.0,DUS,159600.0,19.25,386631.0,0.0,386631.0,AM,PCS,32.68,15
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 53 - GREY SOKA @12X1KG,2.0,DUS,159600.0,19.25,257754.0,0.0,257754.0,AM,PCS,32.68,15
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 53 - BROWN GINGER @12X1KG,2.0,DUS,159600.0,19.25,257754.0,0.0,257754.0,AM,PCS,32.68,15
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 53 - GREEN PINE @12X1KG,1.0,DUS,159600.0,19.25,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 53- BLUE ASTER @12X1KG,1.0,DUS,159600.0,19.25,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 58 - CLEANER @12X1L,2.0,DUS,327600.0,19.25,529074.0,0.0,529074.0,AM,PCS,-,-
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 151 - STONE COATING GLOSSY @12X1L,2.0,DUS,1124400.0,17.5,1855260.0,0.0,1855260.0,AM,LITER,-,-
SI202109000112,2021-09-21 00:00:00,CANDRA KERAMIK INDAH,AM 53 - BLACK EBONY @12X1KG,2.0,DUS,159600.0,19.25,257754.0,0.0,257754.0,AM,PCS,32.68,15
SI202109000114,2021-09-21 00:00:00,CIBADAK JAYA,AM 53 - WHITE JASMINE @12X1KG,3.0,DUS,159600.0,15.0,406980.0,0.0,406980.0,AM,PCS,32.68,15
SI202109000013,2021-09-22 00:00:00,MULIA PAMULANG,SIKA TILE GROUT WHITE @25X1KG,3.0,DUS,213868.0,0.0,641604.0,0.0,641604.0,SIKA,DUS,49,45
SI202109000013,2021-09-22 00:00:00,MULIA PAMULANG,SIKA TILE GROUT CREAM @25X1KG,2.0,DUS,213868.0,0.0,427736.0,0.0,427736.0,SIKA,DUS,49,45
SI202109000120,2021-09-22 00:00:00,CAHAYA MUTIARA,SIKACERAM 200 TA - TILEFIX @6X5KG,1.0,DUS,191673.0,0.0,191673.0,0.0,191673.0,SIKA,DUS,22.16,10
SI202109000120,2021-09-22 00:00:00,CAHAYA MUTIARA,AM 53 - CREAM IXIA @12X1KG,3.0,DUS,159600.0,15.0,406980.0,0.0,406980.0,AM,PCS,32.68,15
SI202109000120,2021-09-22 00:00:00,CAHAYA MUTIARA,AM 53 - CREAM LOTUS @12X1KG,1.0,DUS,159600.0,15.0,135660.0,0.0,135660.0,AM,PCS,32.68,15
SI202109000121,2021-09-22 00:00:00,KARUNIA MANDIRI,AM 53 - WHITE JASMINE @12X1KG,2.0,DUS,159600.0,15.0,271320.0,0.0,271320.0,AM,PCS,32.68,15
SI202109000121,2021-09-22 00:00:00,KARUNIA MANDIRI,AM 53 - BROWN GINGER @12X1KG,2.0,DUS,159600.0,15.0,271320.0,0.0,271320.0,AM,PCS,32.68,15
SI202109000121,2021-09-22 00:00:00,KARUNIA MANDIRI,AM 53- BLUE ASTER @12X1KG,1.0,DUS,159600.0,15.0,135660.0,0.0,135660.0,AM,PCS,32.68,15
SI202109000122,2021-09-22 00:00:00,MS,AM 53- YELLOW SUNFLOWER @12X1KG,1.0,DUS,159600.0,19.25,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000122,2021-09-22 00:00:00,MS,AM 53 - CREAM IXIA @12X1KG,1.0,DUS,159600.0,19.25,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000122,2021-09-22 00:00:00,MS,AM 53 - CREAM LOTUS @12X1KG,1.0,DUS,159600.0,19.25,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000122,2021-09-22 00:00:00,MS,AM 53 - GREY ORCHID @12X1KG,1.0,DUS,159600.0,19.25,128877.0,0.0,128877.0,AM,PCS,32.68,15
SI202109000122,2021-09-22 00:00:00,MS,AM 53 - WHITE JASMINE @12X1KG,4.0,DUS,159600.0,19.25,515508.0,0.0,515508.0,AM,PCS,32.68,15
SI202109000123,2021-09-22 00:00:00,SETIA JAYA RAYA,SIKACERAM 200 TA - TILEFIX @6X5KG,2.0,DUS,188798.0,0.0,377596.0,0.0,377596.0,SIKA,DUS,22.16,10
SI202109000123,2021-09-22 00:00:00,SETIA JAYA RAYA,SIKA TOP 107+ @4X4KG,2.0,DUS,372753.0,0.0,745506.0,0.0,745506.0,SIKA,DUS,50,45
SI202109000124,2021-09-22 00:00:00,HARAPAN PAMULANG,SIKACERAM 200 TA - TILEFIX @6X5KG,1.0,DUS,191673.0,0.0,191673.0,0.0,191673.0,SIKA,DUS,22.16,10
SI202109000124,2021-09-22 00:00:00,HARAPAN PAMULANG,SIKAWALL 181 SKIMCOAT @40KG,10.0,SAK,87885.0,0.0,878850.0,0.0,878850.0,SIKA,SAK,22.16,16.3
SI202109000125,2021-09-22 00:00:00,SUMBER AGUNG (TN),AM 53 - BROWN GINGER @12X1KG,1.0,DUS,159600.0,15.0,135660.0,0.0,135660.0,AM,PCS,32.68,15
SI202109000125,2021-09-22 00:00:00,SUMBER AGUNG (TN),AM 53 - GREY SOKA @12X1KG,1.0,DUS,159600.0,15.0,135660.0,0.0,135660.0,AM,PCS,32.68,15
SI202109000125,2021-09-22 00:00:00,SUMBER AGUNG (TN),AM 53- BLUE ASTER @12X1KG,1.0,DUS,159600.0,15.0,135660.0,0.0,135660.0,AM,PCS,32.68,15
SI202109000125,2021-09-22 00:00:00,SUMBER AGUNG (TN),AM 53 - CREAM IXIA @12X1KG,1.0,DUS,159600.0,15.0,135660.0,0.0,135660.0,AM,PCS,32.68,15
SI202109000126,2021-09-22 00:00:00,SINAR JAYA (PUSPITEK),SIKATOP SEAL 107 (A+B) @25KG,10.0,SET,308248.0,0.0,3082480.0,0.0,3082480.0,SIKA,SET,50,45
SI202109000126,2021-09-22 00:00:00,SINAR JAYA (PUSPITEK),SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),3.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000127,2021-09-22 00:00:00,VILLA TERUSAN,SIKATOP SEAL 107 (A+B) @25KG,20.0,SET,308248.0,0.0,6164960.0,0.0,6164960.0,SIKA,SET,50,45
SI202109000127,2021-09-22 00:00:00,VILLA TERUSAN,SIKATOP SEAL 107 (A+B) @25KG (FREE),1.0,SET,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000127,2021-09-22 00:00:00,VILLA TERUSAN,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),7.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000127,2021-09-22 00:00:00,VILLA TERUSAN,SIKAMUR 130 THINBED @40KG,10.0,SAK,71145.0,0.0,711450.0,0.0,711450.0,SIKA,SAK,22.16,16.3
SI202109000128,2021-09-22 00:00:00,SINAR KITA,SIKATOP SEAL 107 (A+B) @25KG,6.0,SET,308248.0,0.0,1849488.0,0.0,1849488.0,SIKA,SET,50,45
SI202109000128,2021-09-22 00:00:00,SINAR KITA,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),2.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000128,2021-09-22 00:00:00,SINAR KITA,SIKA TOP 107+ @4X4KG,3.0,DUS,378429.0,0.0,1135287.0,0.0,1135287.0,SIKA,DUS,50,45
SI202109000128,2021-09-22 00:00:00,SINAR KITA,AM 53- BLUE ASTER @12X1KG,2.0,DUS,159600.0,15.0,271320.0,0.0,271320.0,AM,PCS,32.68,15
SI202109000129,2021-09-22 00:00:00,JAYA LANGGENG,SIKA TOP 107+ @4X4KG,2.0,DUS,378429.0,0.0,756858.0,0.0,756858.0,SIKA,DUS,50,45
SI202109000129,2021-09-22 00:00:00,JAYA LANGGENG,SIKAWALL 181 SKIMCOAT @40KG,6.0,SAK,87885.0,0.0,527310.0,0.0,527310.0,SIKA,SAK,22.16,16.3
SI202109000129,2021-09-22 00:00:00,JAYA LANGGENG,SIKAMUR 130 THINBED @40KG,10.0,SAK,71145.0,0.0,711450.0,0.0,711450.0,SIKA,SAK,22.16,16.3
SI202109000130,2021-09-22 00:00:00,PUTRA MANDIRI,SIKATOP SEAL 107 (A+B) @25KG,20.0,SET,308248.0,0.0,6164960.0,0.0,6164960.0,SIKA,SET,50,45
SI202109000130,2021-09-22 00:00:00,PUTRA MANDIRI,SIKATOP SEAL 107 (A+B) @25KG (FREE),1.0,SET,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000130,2021-09-22 00:00:00,PUTRA MANDIRI,SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),7.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000132,2021-09-22 00:00:00,BINTANG JAYA (KH. MAS MANSYUR),SIKATOP SEAL 107 (A+B) @25KG,20.0,SET,308248.0,0.0,6164960.0,0.0,6164960.0,SIKA,SET,50,45
SI202109000132,2021-09-22 00:00:00,BINTANG JAYA (KH. MAS MANSYUR),SIKATOP SEAL 107 (A+B) @25KG (FREE),1.0,SET,0.0,0.0,0.0,0.0,0.0,0,0,0,0
SI202109000132,2021-09-22 00:00:00,BINTANG JAYA (KH. MAS MANSYUR),SIKACIM CONCRETE ADDITIVE @10X0.9L (FREE),7.0,CAN,0.0,0.0,0.0,0.0,0.0,0,0,0,0
